Outcome,Team A,Team B,Score A,Score B,Date
1,TSM,LGI,2,0,"Thursday, February 25th"
1,TradeLikePros,Zero MarksMen,2,1,"Thursday, February 25th"
1,Penguin Sledding,Scrub Garden,2,0,"Thursday, February 25th"
1,303 Esports,Valkyrie,2,0,"Thursday, February 25th"
1,Spot Up,FYL,2,0,"Thursday, February 25th"
-1,Fluid Gaming,Nautic,1,2,"Thursday, February 25th"
1,Complexity,Jumba,2,0,"Thursday, February 25th"
1,Lycus Empire,Cereal Before Milk,2,0,"Thursday, February 25th"
1,Version1,NC State Esports,2,0,"Thursday, February 25th"
-1,D2E Black,Entourage,0,2,"Thursday, February 25th"
1,NSIC,Vault Guardians,2,0,"Thursday, February 25th"
1,Take Flyte,VisionX,2,0,"Thursday, February 25th"
1,Rise,TAMU Maroon,2,0,"Thursday, February 25th"
1,Dialed In,ATK Mode,2,0,"Thursday, February 25th"
1,Headshot Percentage,Java PR,2,0,"Thursday, February 25th"
1,seeker,Zelo,2,0,"Thursday, February 25th"
1,Andbox,IQ White,2,0,"Thursday, February 25th"
-1,Swagoi,Pirate Nation,0,2,"Thursday, February 25th"
1,Cloud9 White,Shoguns,2,0,"Thursday, February 25th"
1,Demon Time,Hotcakes,2,0,"Thursday, February 25th"
1,Knights,Pure,2,0,"Thursday, February 25th"
1,RIFLE CRUTCHERS,Big Swampy Society,2,0,"Thursday, February 25th"
1,Hollywood Hooliganz,Triangle Offense,2,0,"Thursday, February 25th"
0,On Top Soon,Foxy,0,0,"Thursday, February 25th"
1,NRG Esports,Sac State Hornets,2,0,"Thursday, February 25th"
1,VZN,Divine,2,1,"Thursday, February 25th"
1,Time In,Logan Paulers,2,0,"Thursday, February 25th"
1,Able Esports,Windstorm,2,1,"Thursday, February 25th"
1,Equinox Esports,sadHours,2,0,"Thursday, February 25th"
1,YFP Gaming,Team Atlas,2,0,"Thursday, February 25th"
1,On The Way,Pulsar,2,0,"Thursday, February 25th"
-1,Onslaught Gaming,Interstate 95,1,2,"Thursday, February 25th"
1,T1,In The Lab,2,0,"Thursday, February 25th"
1,PUGSTARS,Dallas Vendetta,2,1,"Thursday, February 25th"
1,Reformed,Arlington E.C.,2,0,"Thursday, February 25th"
1,Archons,Synthetic,2,0,"Thursday, February 25th"
1,eUnited,Enigma,2,0,"Thursday, February 25th"
1,Frick Ya Bag,anygurls,2,0,"Thursday, February 25th"
1,Carpe Noctem,IQ Purple,2,0,"Thursday, February 25th"
1,Grapefruit Techniques,Hyperspace Dark,2,0,"Thursday, February 25th"
